adt_2025_drop_all_minus1.csv 변수 설명
형식: 원래 변수명: 변수의 의미
총 컬럼 수: 455

YEAR: 조사연도
RESPID: 응답자 식별번호
YRRESPID: 조사연도별 응답자 식별번호
FINALWT: 최종 가중치
SEX: 응답자성별
AGE: 응답자연령
MARITAL: 응답자혼인상태
EMPLY: 응답자취업여부
WHYNOE: 응답자미취업사유
EDUC: 응답자학력:최종학교
GRADUATE: 응답자학력:최종학교졸업여부
DROPYR: 응답자학력:(중퇴시)학년
CURRYR: 응답자학력:(재학시)학년
SPEDUC: 배우자학력:최종학교
SPGRAD: 배우자학력:최종학교졸업여부
SPDROPYR: 배우자학력:(중퇴시)학년
SPCURRYR: 배우자학력:(재학시)학년
PAEDUC: 부친학력:최종학교
PAGRAD: 부친학력:최종학교졸업여부
PADROPYR: 부친학력:(중퇴시)학년
MAEDUC: 모친학력:최종학교
MAGRAD: 모친학력:최종학교졸업여부
MADROPYR: 모친학력:(중퇴시)학년
FBIRTHPL: 아버지태어난국가
MBIRTHPL: 어머니태어난국가
FAMILY16: 부모동거여부:16살
WHYNOTPA23: 비동거이유:16살
EMPED: 응답자(취업시)피고용여부
WGSTAT: 응답자(피고용시)고용형태
WGPTFL: 응답자(피고용시)전일제,시간제구분
WGWKHR: 응답자(피고용시)일주일평균근로시간
WGSTAB: 응답자(피고용시)고용의지속성
WGTENYR: 응답자(피고용시)현직장근속기간
WGTENMO: 응답자(피고용시) 현직장 근속기간(개월)
WGSECT: 응답자(피고용시)고용부문
WGUNN: 응답자(피고용시)노조가입여부
WGUNNP: 응답자(노조미가입시)과거에노조가입경험
WGNOEMP: 응답자(피고용시)직장의피고용인수
SFSTAT: 응답자(자영업시)자영형태
SFNOHI: 응답자(고용원을둔사업주의경우)고용인수
SFPTFL: 응답자(자영업시)전일제,시간제구분
SFWKHR: 응답자(자영업시)평균근로시간
SFTENYR: 응답자(자영업시)현업지속기간(년)
SFTENMO: 응답자(자영업시) 현업 지속기간(개월)
NUMSUP: 응답자(취업시)부하직원수
EMSUBO: 응답자(취업시)직속부하직원유무
UNWKEX: 응답자(미취업시)근로경험유무
UNSTAT: 응답자(미취업시,근로유경험자)최근근로지위
UNNOHI: 응답자(미취업시,근로유경험자중사업주)최근고용원수
UNSUBO: 응답자(미취업시,근로유경험자)당시부하직원유무
UNWKHR: 응답자(미취업시,근로유경험자)당시평균근무시간
UNSRCH: 응답자(미취업시)지난일주일간구직노력여부
RINCOM0: 응답자(취업시) 월평균 근로소득(원자료/연속형)
RINCOME: 응답자(취업시)월평균근로소득(범주형)
RXTINC: 응답자(취업시)근로외소득유무
RXTINC0: 응답자(취업시) 월평균 근로외소득(원자료/연속형)
RXTINCM: 응답자(취업시)월평균근로외소득(범주형)
UNXTINC: 응답자(미취업시)소득유무
UNXTINC0: 응답자(미취업시) 월평균소득(원자료/연속형)
UNXTINCM: 응답자(미취업시)월평균소득(범주형)
SPINCMR: 배우자취업여부
SPEMPED: 배우자(취업시)피고용여부
SPWGSTAT: 배우자(피고용시)고용형태
SPWGPTFL: 배우자(피고용시)전일제,시간제구분
SPWGWKHR: 배우자(피고용시)일주일평균근로시간
SPWGSTAB: 배우자(피고용시)고용의지속성
SPWGTNYR: 배우자(피고용시)현직장근속기간(년)
SPWGTNMO: 배우자(피고용시) 현직장 근속기간(개월)
SPWGSECT: 배우자(피고용시)고용부문
SPWGUNN: 배우자(피고용시)노조가입여부
SPWGUNNP: 배우자(노조미가입시)과거가입경험
SPSFSTAT: 배우자(자영업시)자영형태
SPSFNOHI: 배우자(자영업시)고용원수
SPSFPTFL: 배우자(자영업시)전일제,시간제구분
SPSFWKHR: 배우자(자영업시)평균근로시간
SPNUMSUP: 배우자(취업시)부하직원수
SPEMSUBO: 배우자(취업시)직속부하직원유무
SPUNWKEX: 배우자(미취업시)근로경험유무
SPUNSTAT: 배우자(미취업시,근로유경험자)최근근로지위
SPUNNOHI: 배우자(미취업시,근로유경험자중사업주)당시고용원수
SPUNSUBO: 배우자(미취업시,근로유경험자)당시부하직원유무
SPUNWKHR: 배우자(미취업시,근로유경험자)당시평균근로시간
SPUNSRCH: 배우자(미취업시)지난일주일간구직노력여부
SPINCOM0: 배우자(취업시) 월평균 근로소득(원자료/연속형)
SPINCOME: 배우자(취업시)월평균근로소득(범주형)
SPXTINC: 배우자(취업시)근로외소득유무
SPXTINC0: 배우자(취업시) 월평균 근로외소득(원자료/연속형)
SPXTINCM: 배우자(취업시)월평균근로외소득(범주형)
SPUNXTN: 배우자(미취업시)소득유무
SPUNXTN0: 배우자(미취업시) 월평균소득(원자료/연속형)
SPUNXTNM: 배우자(미취업시)월평균소득(범주형)
INCOM0: 월평균 가구소득(원료/연속형)
INCOME: 월평균가구소득(범주형)
SATFIN: 가계상태만족도
FINREL05: 주관적가구소득수준평가(2005년도)
FINPROS: 가계경제상태전망(10년이내)
KIDNUM10: 응답자의자녀수
PARSOL: 부모세대대비생활수준변화
KIDSOL06: 자녀세대생활수준변화예상(2006년도)
URBRURAL: 거주지역규모에대한주관적평가
HOUSTYPE: 주택종류
HOUSOWNS: 주택형태
BESTFRND: 믿어주는친구
OTHERS1: 나보다불행한사람을보면동정심이생기고걱정이된다
OTHERS2: 이용당하는사람을보면보호하고싶은생각이든다
HELPFUL: 이타주의와이기주의에대한평가
INDDIFF: 생계어려움의원인:개인적인노력이나능력때문/정치사회적제도때문
MERCYDTH: 존엄사허용에대한의견
FILILOBE: 자식은중요한결정(예:진로,결혼)을할때부모의의견을반영하여야한다
HAPPINSS: 행복감
SUICIDE131: 자살할권리1:불치병을앓고있을경우
SUICIDE132: 자살할권리2:파산했을경우
SUICIDE133: 자살할권리3:가족의명예를더럽혔을경우
SUICIDE134: 자살할권리4:사는것이피곤해서죽고싶을경우
ATMPSUIC: 평생자살생각및시도경험
THNKSUIC: 지난1년간자살생각빈도
TALKSUIC: 평생자살생각을다른사람에게알린경험
FUTRSUIC: 미래자살시도가능성
SLFHRMNM: 평생비자살적자해횟수
THNKSFHM: 스트레스상황에서자해행동실천및생각여부
SELFSCAR: 자해흉터개수
RELIG: 응답자종교
ATTEND: 응답자종교집회참석빈도
RELITEN: (종교있다면)응답자신앙심
RITGRV23: 의례빈도1:묘(납골당)방문
CONFULIV: 유교적인삶여부
FAMRESPO: 유교적인삶:가족에대한책임
CONFUKOR: 유교적인삶:유교적가치
CONFURIT: 유교적인삶:의례와행위
ANCEDUTY: 유교적인삶:조상에대한의무
CONFUETH: 유교적인삶:도덕적잣대
RELIABLE: 사회에대한신뢰
CONBUS: 기관지도층에대한신뢰1:대기업
CONCLERG: 기관지도층에대한신뢰2:종교계
CONEDUC: 기관지도층에대한신뢰3:교육계
CONLABOR: 기관지도층에대한신뢰4:노동조합
CONPRESS: 기관지도층에대한신뢰5:신문사
CONTV: 기관지도층에대한신뢰6:TV방송국
CONMEDIC: 기관지도층에대한신뢰7:의료계
CONGOVT: 기관지도층에대한신뢰8:중앙정부부처
CONLGOVT: 기관지도층에대한신뢰9:지방자치정부
CONLEGIS: 기관지도층에대한신뢰10:국회
CONJUDGE: 기관지도층에대한신뢰11:대법원
CONSCI: 기관지도층에대한신뢰12:학계
CONARMY: 기관지도층에대한신뢰13:군대
CONFINAN: 기관지도층에대한신뢰14:금융기관
CONBLUHO: 기관지도층에대한신뢰15:대통령실
CONCSO: 기관지도층에대한신뢰16:시민운동단체
CONRCH: 기관지도층에대한신뢰17:여론조사기관
CONPROS: 기관지도층에대한신뢰18:검찰청
CONSTAT: 기관지도층에대한신뢰19:통계청
CONELEC: 기관지도층에대한신뢰20:중앙선거관리위원회
TRUSTCON: 국회신뢰도
LAWHARSHA: 법원의범죄자처벌에대한인식(A형)
LAWHARSHB: 법원의범죄자처벌에대한인식(B형)
PARTYLR: 정치적진보,보수성향
PRTYID25: 년지지하는정당
PRTYPR25: (지지정당이없을경우)2025년선호하는정당
VOTE24: 년제22대국회의원선거투표여부
VOTE241: 년제22대국회의원선거에서투표한지역구국회의원정당
VOTE242: 년제22대국회의원선거에서투표한비례대표국회의원정당
QUALPRES: 대통령의 자격/자질에 대한 의견
AUTHORT4: 우리나라에필요한것은인권보장이아니라법질서
AUTHORT7: 우리나라에필요한것은질서정연한국민
SATPOL: 한국정치상황에대한만족도
NORTHWHO: 북한에대한인식
SKPLCYNK: 대북정책에대한의견:북한인권개선과북한과의대화·교류중우선해야할정책
SEDISTAN: 국가선호도:가장친밀하게느끼는국가
WARPOS: 한반도의전쟁가능성
UNIFI: 남북통일의필요성
CHDOROLD: 어린이정책또는노인정책중우선순위
TOPPROB: 한국사회가 당면한 가장 중요한 문제
REBORNKR: 다시태어나고싶은나라:대한민국/다른나라
REDINTER: 지난1년간인터넷사용시간을줄이려고한빈도
FREESPCH1A: 표현의자유로보호되어야하는정도1:정부를강하게비판하는발언
FREESPCH2A: 표현의자유로보호되어야하는정도2:특정종교에대한혐오적발언
FREESPCH3A: 표현의자유로보호되어야하는정도3:특정인종이나민족에대한차별적발언
FREESPCH4A: 표현의자유로보호되어야하는정도4:성소수자에대한차별적발언
SUCCEMP1: 성공적인직원의이미지1:장시간근무
SUCCEMP2: 성공적인직원의이미지2:기꺼이야근
SUCCEMP3: 성공적인직원의이미지3:근무시간후연락
SUCCEMP4: 성공적인직원의이미지4:가족을위한휴가
SUCCEMP5: 성공적인직원의이미지5:사내행사나부서회식적극적참여
SUCCEMPM: 성공적인직원의이미지와R이가까운정도
POLLATT4: 여론조사에대한의견4:투표할때여론조사결과참조정도
POLLRELI: 선거여론조사결과에대한신뢰
SAMPTHOUA: 여론조사의대표성에대한의견(A형):전국무작위1,000명국민여론의정확성
SAMPTNTHB25: 여론조사의대표성에대한의견(B형):전국무작위10,000명국민여론의정확성
ELEFRAUDA: 부정선거의혹에대한인식(A형)
ELEFRAUDB: 부정선거의혹에대한인식(B형)
POLLIMPO: 여론조사즐거움3:조사자체의흥미로움
POLLSOCI: 여론조사가치1:사회에중요
POLLREQU: 여론조사부담1:너무많은조사참여요청
POLLWRRY: 선거여론조사의개인정보보안에대한우려
POLLNEUT: 선거여론조사기관의정치적중립성에대한인식
SURREQST: 여론조사참여횟수
RESSECUR: 거주지역치안수준
SOCNET10: 친구·친척·지인관계에대한만족
LTIME1YR: 여가생활어려움
HEALTH23: 주관적건강상태
DISABIL1: 보유장애1:해당없음
DISABIL2: 보유장애2:지체장애
DISABIL3: 보유장애3:뇌병변장애(뇌손상,뇌성마비,뇌졸중)
DISABIL4: 보유장애4:시각장애
DISABIL5: 보유장애5:청각장애
DISABIL6: 보유장애6:언어장애
DISABIL7: 보유장애7:기타(구체적으로:)
BORNMFM: 귀하는다시태어난다면어느성별로태어나고싶습니까?
HATOPSEX: 이성에대한혐오:귀하께서는한국사회에이성(남성과여성)에대한혐오가어느정도심각하다고생각하십니까?
GOODDEED: 인생은선한일을하면복을받고악한일을하면벌을받는다
LUCKEFFO: 인생은노력보다운이더중요하다
BYELESEN: 친환경구매행동1:가급적이면환경에나쁜영향을덜미치는제품을구매한다
NOTBYENV: 친환경구매행동2:제품이환경에미칠수있는잠재적피해를이해하면그제품을구매하지않는다
BYREUSAB: 친환경구매행동3:가급적이면재사용또는재활용이가능한용기에포장된제품을구매한다
BYRECYCL: 친환경구매행동4:재활용된재료로만들어진제품을구매하기위해최선을다한다
CNSPSETHI: 윤리적소비행동1:소비생활을할때공동체윤리에맞춰나의이기심을절제할필요가있다고생각한다
CNSPIMPT: 윤리적소비행동2:나의소비생활이사회에미치는영향을고려해야한다고생각한다
CNSPUNFR: 윤리적소비행동3:불공정한행위를한기업의제품은구매하지않는다
CNSPRESP: 윤리적소비행동4:사회적책임을다하기위해노력하는기업의제품을찾아서구매한다
PROUDDEM: 한국의민주주의에대한자긍심
PROUDPOL: 한국의국제정치영향력에대한자긍심
PROUDECO: 한국의경제적성취에대한자긍심
PROUDSSS: 한국의사회보장제도에대한자긍심
PROUDSCI: 한국의과학기술성취에대한자긍심
PROUDSPT: 한국의스포츠성취에대한자긍심
PROUDART: 한국의예술과문학성취에대한자긍심
PROUDMIL: 한국의군사력에대한자긍심
PROUDHIS: 한국의역사에대한자긍심
PROUDGRP: 한국사회의공정성에대한자긍심
KRPROUD: 국가자긍심
CANTRUST: 사람들에대한신뢰
LEFTRIGT: 정치적좌파우파_Self-Identification
DEMTODAY: 한국의민주주의실현정도에대한평가
INCMR: 응답자취업여부
GOVSPD1: 정부지출의증감1:환경
GOVSPD2: 정부지출의증감2:보건
GOVSPD3: 정부지출의증감3:치안
GOVSPD4: 정부지출의증감4:교육
GOVSPD5: 정부지출의증감5:국방
GOVSPD6: 정부지출의증감6:노인연금
GOVSPD7: 정부지출의증감7:실업수당
GOVSPD8: 정부지출의증감8:문화예술
SURVECAM: 감시권한1:공공장소비디오카메라
POLINT06: 정치에대한관심도
SEXATT1: 성관계에대한태도1:혼전성교
SEXATT2: 성관계에대한태도2:혼외성교
SEXATT3: 성관계에대한태도3:동성성교
RELLEAD1: 종교지도자의선거투표영향에대한의견
RELSCI2: 과학과종교의신뢰에대한의견
RELFUN1: 종교의갈등유발에대한의견
RELFUN2: 종교적신념과관용에대한의견
RELPOWR: 종교단체권력에평가
MYTH218: 미신에대한의견2:점쟁이는미래예측가능
MYTH518: 미신에대한의견5:사주가인생에영향
REGGRP1: 종교집단에대한태도1:개신교
REGGRP2: 종교집단에대한태도2:천주교
REGGRP3: 종교집단에대한태도3:불교
REGGRP9: 종교집단에대한태도9:무신론자또는무종교인
SUCDWLTH: 인생성공요인1:부유한집안
SUCDPAED: 인생성공요인2:부모교육
SUCDEDUC: 인생성공요인3:본인학력
SUCDAMBT: 인생성공요인4:야망
SUCDEFRT: 인생성공요인5:열심히일
